City,City_Admaster,City_EN,num,lat,lon,Province,Province_EN,Region,Tier
文山,文山壮族苗族自治州,Wenshan,0,23.389348,104.230865,云南,Yunnan,West,Tier 5
新乡,新乡市,Xinxiang,0,35.299206,113.878063,河南,Henan,North,Tier 5
新余,新余市,Xinyu,0,27.800739,114.933285,江西,Jiangxi,South,Tier 5
无锡,无锡市,Wuxi,0,31.575635,120.295453,江苏,Jiangsu,East,Tier 2
日喀则,日喀则地区,Rikaze,0,29.294831,89.06605,西藏,Xizang,West,Tier 5
日喀则,日喀则市,Shigatse,0,29.276126,88.880703,西藏,Xizang,West,Tier 5
日照,日照市,Rizhao,0,35.41507,119.521451,山东,Shandong,North,Tier 5
昆明,昆明市,Kunming,1,25.043798,102.714338,云南,Yunnan,West,Tier 2
昌吉,昌吉回族自治州,Changji,0,44.016662,87.316668,新疆,Xinjiang,West,Tier 5
昌都,昌都地区,Changdou,0,24.198235,107.261984,西藏,Xizang,West,Tier 5
昌都,昌都市,Chamdo,0,31.145174,97.169761,西藏,Xizang,West,Tier 5
昭通,昭通市,Zhaotong,0,27.604478,104.292119,云南,Yunnan,West,Tier 5
晋中,晋中市,Jinzhong,0,37.675403,112.74671,山西,Shanxi,North,Tier 5
晋城,晋城市,Jincheng,0,35.493783,112.851986,山西,Shanxi,North,Tier 5
普洱,普洱市,Pu'er,0,23.061985,101.140729,云南,Yunnan,West,Tier 5
景德镇,景德镇市,Jingdezhen,0,29.290929,117.204121,江西,Jiangxi,South,Tier 5
曲靖,曲靖市,Qujing,0,25.490272,103.79654,云南,Yunnan,West,Tier 5
朔州,朔州市,Shuozhou,0,39.318309,112.43007,山西,Shanxi,North,Tier 5
朝阳,朝阳市,Chaoyang,0,41.575477,120.439074,辽宁,Liaoning,North,Tier 5
本溪,本溪市,Benxi,0,41.292221,123.75942,辽宁,Liaoning,North,Tier 5
来宾,来宾市,Laibin,0,23.736452,109.229512,广西,Guangxi,South,Tier 5
杭州,杭州市,Hangzhou,0,30.248963,120.205234,浙江,Zhejiang,East,new Tier 1
松原,松原市,Songyuan,0,45.143777,124.811255,吉林,Jilin,North,Tier 5
林芝,林芝地区,Linzhi,0,22.651329,120.524671,西藏,Xizang,West,Tier 5
林芝,林芝市,Nyingchi,0,29.807676,94.236287,西藏,Xizang,West,Tier 5
果洛,果洛藏族自治州,Guoluo,0,33.287875,101.102261,青海,Qinghai,West,Tier 5
枣庄,枣庄市,Zaozhuang,0,34.809345,117.317837,山东,Shandong,North,Tier 5
柳州,柳州市,Liuzhou,0,24.321304,109.406619,广西,Guangxi,South,Tier 3
株洲,株洲市,Zhuzhou,0,27.839498,113.148217,湖南,Hunan,South,Tier 3
桂林,桂林市,Guilin,0,25.281536,110.291233,广西,Guangxi,South,Tier 3
梅州,梅州市,Meizhou,0,24.305355,116.117744,广东,Guangdong,South,Tier 5
梧州,梧州市,Wuzhou,0,23.478295,111.297183,广西,Guangxi,South,Tier 5
